Level Passwords
Area 1-1: KKKFKJKO 
Area 1-2: EEGJEBEE 
Area 1-3: MMJKMOLM 
Area 1-4: MMDHMJJJ 
Area 1-5: DDGCDFLN 
Area 1-6: BBMAAKGA 
Area 1-7: CCIDPMNI 
Area 1-8: MMGLLCDI 
Area 2-1: IHINHLFC 
Area 2-2: GEEPEJAO 
Area 2-3: NKCPCBPC 
Area 2-4: ABGPEJGI 
Area 2-5: NKIHCBPC 
Area 2-6: FOCKIOIJ 
Area 2-7: HIPPOEOD 
Area 2-8: CPHIKLOE 
Area 3-1: OIOACMCM 
Area 3-2: EAGAJLJE 
Area 3-3: IOOINJNJ 
Area 3-4: DLMEGMGE 
Area 3-5: FHPCCMPM 
Area 3-6: HFNHNEKI 
Area 3-7: OINAPPCJ 
Area 3-8: NCFIHAIE 
Area 4-1: OHOFNECJ 
Area 4-2: AGBGJDMO 
Area 4-3: BEGDJILN 
Area 4-4: BEEKJGLM 
Area 4-5: IFNEPMNN 
Area 4-6: IFKKPJNM 
Area 4-7: MDEIGJAJ 
Area 4-8: MDGEGPAJ 
Area 5-1: LBLBEHBN 
Area 5-2: MALEGCAI 
Area 5-3: DGLKAHGM 
Area 5-4: LBJPENBC 
Area 5-5: BLLLJKLN 
Area 5-6: KHIJOFHI 
Area 5-7: HKPDCHKN 
Area 5-8: COHFHHOE 
Area 6-1: JGJHBKEC 
Area 6-2: CFPDHEOO 
Area 6-3: CFNIHMOI 
Area 6-4: GJACMEDJ 
Area 6-5: CFOFHDOO 
Area 6-6: LAAOEIBN 
Area 6-7: JGACBOEN 
Area 6-8: MBGOGKAE
